No.,Institution,Contract,Supplier,Date,Amount
36,ЈЗУ ИНСТИТУТ ЗА ТРАНСФУЗИОНА МЕДИЦИНА НА РЕПУБЛИКА МАКЕДОНИЈА СКОПЈЕ,ФАКТОРИ НА КОАГУЛАЦИЈА,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,07.06.2012,122462660
37,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите за ЈЗУ УКРО за 2012 и 2013 година,Промедика,27.09.2012,122131165
38,ЕЛС - Општина Прилеп,"Изградба , реконструкција и рехабилитација на локални улици и патишта на територијата и за потребите на ЕЛС-Општина Прилеп",ГД Гранит АД - Скопје,06.04.2012,117705590
39,Министерство за здравство,Набавка на Интраокуларни леќи и друг офталмолошки потрошен материјал за потребите на јавните здравствени установи во Република Македонија.,ДТПУ Промедика доо,19.06.2012,113050797
40,ГА-МА АД - Скопје,"Изведување на машинско монтажни работи,градежни работи, електро работи и работи на катодна заштита на преносниот гасоводен систем во град Скопје",Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,22.10.2012,113038986
41,ЈП Комунална хигиена Скопје,Ангажирање на Агенција за привремени вработувања,АПВ Мотиви,25.06.2012,106200000
42,АД Електрани на Македонија - Скопје,"Набавка и испорака на транспортни траки според спецификација, за РЕК Битола и РЕК Осломеј","Друштво за вработување на инвалидни лица за производство,трговија и услуги ФЕРО ИНВЕСТ ДОО експорт-импорт Велес",22.11.2012,105167500
43,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,НАБАВКА НА ЛЕКОВИ ЗА ПОТРЕБИТЕ НА ЈЗУ УНИВЕРЗИТЕТСКА КЛИНИКА ЗА РАДИОТЕРАПИЈА И ОНКОЛОГИЈА ЗА 2012 ГОДИНА,Промедика,31.05.2012,99820875
44,АД Електрани на Македонија - Скопје,Реконструкција и проширување на магистрален топловод од вреловодна станица во Подружница Енергетика до мала капија (Ш-1).,ЕЛ-ТЕ ИНЖИНЕРИНГ,16.08.2012,96760000
45,ЕВН Македонија АД- Скопје,Рамковен договор за Набавка на Осигурителни услуги,Друштво за осигурување УНИКА А.Д. - Скопје,31.12.2012,95857350
46,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Дополнителни работи за изградба на источна и западна трибина на Национална Арена Филип II Македонски -Скопје.,Друштво за градежништво БЕТОН Акционерско друштво Скопје,16.07.2012,95504522
47,АД Електрани на Македонија - Скопје,"Ангажирање на работна рака за извршување на работи по повик во подружница РЕК Осломеј, со повторно прибирање на понуди",1. Тајмиште - Кичево; 2. Старт ас 2000 - с. Поповјани (Општина Осломеј); 3. Инсталација- с. Длапкин Дол (Општина Зајас),29.06.2012,95000000
48,АД Електрани на Македонија - Скопје,ЈН 01-184/2012 Ангажирање на градежна механизација на повик за потребите на РЕК Битола.,"Друштво за производство,трговија,услуги и транспорт МИС-КОМЕРЦ Митко ДООЕЛ експорт-импорт Скопје",24.11.2012,94990000
49,ЈП Македонија пат- Скопје,Набавка на битумен БИТ 50/70,"1, ЈП Македонијапат,Скопје
 2. Албимпекс Петрика ДООЕЛ увоз извоз Охрид
",10.08.2012,94390560
50,АД МЕПСО,Изградба на сноу – борд парк во скијачки центар Крушево,Група понудувачи-Енерго Систем ДОО и СУФАГ СПОРТ-УНД ФРЕИЦЕИТАНЛАГЕН ГМБХ,05.10.2012,93969451
51,Министерство за животна средина и просторно планирање,"""Реконструкција на постоечкиот ободен канал во населено место Арачиново, Општина Арачиново"".","Друштво за производство, градежништво, трговија и угостителски услуги АК-ИНВЕСТ,АК-INVEST ДООЕЛ експ",06.11.2012,89285445
52,Општина Центар,Изградба на дополнителни непредвидени работи на комплекс Карпошово Востание,ДГ Бетон АД Скопје,16.07.2012,88317789
53,Агенција за државни патишта,"Рехабилитација на регионален пат Р2246 (стара ознака Р-415), Извор – Бошков мост, делница Гарски мост – Бошков Мост",ТДГПТУ ИЛИНДЕН АД,22.10.2012,88269075
54,Општина Илинден,"Изградба, реконструкција и санација на локални улици и патишта, тротоари, пешачки и велосипедски патеки и други слични објекти на територија на Општина Илинден",1. Ф-ка КАРПОШ АД-Скопје; 2. ДППУ САНДРА ИНЖИНЕРИНГ Дооел Скопје; 3. ПЕЛАГОНИЈА АД Гостивар; 4. ДГТУ ХУЉУСИ КОМЕРЦ Исмаил Дооел Куманово; 5. ДГТ ЖИКОЛ Дооел Струмица,19.03.2012,88000000
55,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот Август 2012 – Август 2014 год. за потребите на населението на РМ.",ФАРМАС МН ДООЕЛ,03.10.2012,84366828
56,Министерство за транспорт и врски,"Изградба на пат до манастирот Трескавец, општина Прилеп, по принципот „клуч во раце“",ГД „Гранит„ АД,24.08.2012,83516749
57,Агенција за државни патишта,"Изработка на техничка документација на ниво на проект за Инфраструктура и Основен проект за магистрален патен правец А3, делница Охрид – Пештани, врска на А3 со Охрид (бензинска пумпа) и врска на А3 со Р1301 (Пештани).",Друштво за инженеринг и консалтинг ЧАКАР-ПАРТНЕРС ДОО Скопје,07.09.2012,79667346
58,Општина Битола,Реконструкција на коловози на територијата на Општина Битола,Градежно друштво ГРАНИТ АД-Скопје,20.07.2012,78475962
59,Јавно сообраќајно претпријатие СКОПЈЕ,Набавка и поставување на автобуски постојки,Друштво за производство и промет на големо и мало ТУРБОИНЖЕНЕРИНГ ДООЕЛ увоз-извоз Скопје,20.12.2012,77880000
60,Дирекција за технолошки индустриски развојни зони,"Изведба на атмосферска канализацја од ТИРЗ “Штип"" до реципиент",ГД Гранит АД Скопје,14.03.2012,76740133
61,Општина Центар,Довршување на изградба на пешачки мост на река Вардар,Друштво за градежништво БЕТОН Акционерско друштво Скопје,27.12.2012,76584956
62,ЈП Македонска Радиотелевизија,"Правни услуги за застапување, советување и преземање на сите правни дејствија во врска со судските постапки поведени од ТARBS Европа CA против ЈП МАКЕДОНСКА РАДИО ТЕЛЕВИЗИЈА пред Високиот суд на правдата, Кралска Дивизија Комерцијален суд во Лондон","ТЛТ ЛЛП, Обиденето кралство,Англија",18.01.2012,75000000
63,Општина Аеродром,Oдржување на улици на територија на општина Аеродром,1. Конструктор Рената и др ДОО експорт-импорт Скопје; 2. Пелагонија АД Гостивар; 3. Транс мет ДОО Скопје; 4. Урбан инвест ДОО; 5.Река интернационал ДООЕЛ увоз-извоз Скопје,06.06.2012,73160000
64,Општина Карпош,Изградба на административен објект на Општина Карпош – градежен дел,АК ИНВЕСТ ДООЕЛ Скопје,30.07.2012,72963702
65,ЈЗУ Клиника за Хематологија,Набавка на лекови,АЛКАЛОИД КОНС,13.08.2012,72654946
66,ЈЗУ Клиника за Хематологија,Набавка на лекови,ПРОМЕДИКА ДОО,09.08.2012,72087878
67,Министерство за здравство,Набавка на Интраокуларни леќи и друг офталмолошки потрошен материјал за потребите на јавните здравствени установи во Република Македонија.,АЛКАЛОИД КОНС,19.06.2012,70644267
68,Агенција за електронски комуникации,Услуги за изработување и промовирање на стратегија за подигање на свесноста кај јавноста за улогата и функцијата на АЕК и сите нејзини сервиси и услуги,"Друштво за продукција, маркетинг, трговија и услуги Република Дооел",09.05.2012,70138890
69,Министерство за внатрешни работи на РМ,Еуродизел Д-Е V,ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ,31.05.2012,70000000
70,Општина Центар,"Изградба, реконструкција, санација и тековно-одржување на градежни објекти на јавни површини на територија на Општина Центар","1. ,,Тератрејд‘‘ ДООЕЛ Скопје; 2. ДГТ „Жикол„ ДООЕЛ; 3. ДПТТУ „Конструктор„ ДООЕЛ Скопје; 4. ,,Ексико‘‘ ДООЕЛ Скопје; 5. „Изградба Комерц„ ДООЕЛ Скопје; 6. Конзорциум „Сандра Инжинеринг„ ДООЕЛ и „Конструктор„ ДОО; 7. „Промотинг„ ДООЕЛ Скопје; 8. ,,Пелагонија‘‘ АД Гостивар; 9. ,,Бауер БГ‘‘ ДОО Скопје; 10. ДГДП „Дар Дизајн„ ДОО Скопје; 11. „Виа Инженеринг„ ДОО Вевчани; 12. „Анизор„ ДООЕЛ Скопје; 13. „Беграмо Инжинеринг„ ДООЕЛ Скопје",16.08.2012,70000000
71,Министерство за внатрешни работи на РМ,Масло за горење-екстра лесно,"ДПТУ ПУЦКО ПЕТРОЛ, доо",29.05.2012,70000000
72,АД МЕПСО,Изградба на сноу – борд парк во скијачки центар Пониква,Група понудувачи ЕНЕРГО СИСТЕМ ДОО и СУФАГ СПОРТ-УНД ФРЕИЦЕИТАНЛАГЕН ГМБХ,05.10.2012,69717543
73,Општина Гевгелија,Изградба на градско пазариште во Гевгелија – 1 Фаза.,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",19.11.2012,68241598
74,Општина Карпош,"Изградба на водоводни мрежи, фекални канализации, топловодни мрежи, ПТТ мрежа и изградба на пристапни патеки за лица со посебни потреби",1. ДТУ МАКОТЕРМ ДООЕЛ; 2. ДУГПТ АКВАМОНТ_ИНГ ДОО; 3. ПМИЗ ЕНЕРГОМОНЖА; 4. ДПТУ АПОЛО ИНЖЕНЕРИНГ ДООЕЛ; 5. ДППУ САНДРА ИНЖЕНЕРИНГ ДООЕЛ; 6. ДГТУ АДРА ДООЕЛ; 7. ДПТТУ ЕУРО ИНВЕСТ_ИНГ ДООЕЛ; 8. АД ЕНЕРГОМОНТ; 9. ДИПМПТ КОДИНГ ДООЕЛ; 10. ДГТ МЕТАЛЕЛЕКТРИК ДООЕЛ; 11. ТДППИ ВАРДАРГРАДБА ДОО; 12. ДГТ ЖИКОЛ ДООЕЛ; 13. ДГТУ ДА БО ДООЕЛ; 14. ДГТТ ТРАНС МЕТ,08.06.2012,67600000
75,ОСТУ „Наце Буѓони“ - Куманово,Oпштински линиски превоз на ученици во средни училишта во Општина Куманово во учебната 2012/2013 година.,"Друштво за превоз,производство,трговија и услуги ОЛИ-ТРАВЕЛ ДООЕЛ увоз-извоз Куманово",19.11.2012,66141306
76,Министерство за култура,Изведување на електро технички работи произлезени од елаборатот за против пожарна заштита и заштита при работа и изведба на електро технички инсталации за илуминација на фасадата и партерот на објект Стар театар - Скопје,Друштво за трговија на големо и мало и инженеринг услуги ЕЛЕКТРО ЛАБ ДОО увоз-извоз Скопје,26.12.2012,65889353
77,Град Скопје,Реконструкција на бул.Илинден 2-ра фаза.,Градежно друштво ГРАНИТ АД-Скопје,11.06.2012,65018000
78,Министерство за култура,Изведување на противпожарни машински инсталации со придружни фази произлезени од проектот за против пожарна заштита на објект Стар театар - Скопје,СТРАБАГ АГ Подружница СТРАБАГ Скопје,22.03.2012,63607677
79,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",РЕГИСТРИРАНИ ЛЕКОВИ,„ДВНП“ „Минекс Мип“ - Скопје,21.08.2012,61724146
80,Општина Долнени,"Реконструкција, модернизација и одржување на јавното осветлување во општина Долнени",ДООЕЛ „СИТИ ЛАЈТ“,16.11.2012,61714000
81,АД Електрани на Македонија - Скопје,ЈН 01-197/2012 Санација на свлечиште во микролокација 7 во рудник Суводол -РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",07.12.2012,60770000
82,Општина Центар,"Изградба, реконструкција и санација на јавни површини изработени од завршен слој од префабрикувани елементи на територија на Општина Центар-Скопје",1. Пелагонија АД Гостивар; 2. Бауер БГ ДОО Скопје; 3. Ексико ДООЕЛ Скопје; 4. Тератрејд ДООЕЛ Скопје; 5. ДГТ Жикол ДООЕЛ Струмица; 6. Анизор ДООЕЛ Скопје; 7. Урбан Инвест ДОО Кавадарци,03.08.2012,60000000
